"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Acura","INTEGRA","Automóviles","De Lujo","IMPORTADO",66,17
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",40,24
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Acura","NSX","Automóviles","Deportivos","IMPORTADO",66,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,36
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Acura","TLX","Automóviles","De Lujo","IMPORTADO",66,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Alfa Romeo","Giulia","Automóviles","De Lujo","IMPORTADO",124,5
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Alfa Romeo","Stelvio","Automóviles","De Lujo","IMPORTADO",124,17
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Alfa Romeo","TONALE","Camiones ligeros","SUV's","IMPORTADO",124,32
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","A1*","Automóviles","De Lujo","IMPORTADO",64,96
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","A3-","Automóviles","De Lujo","IMPORTADO",4,195
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","A4","Automóviles","De Lujo","IMPORTADO",4,23
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","A5 Coupe","Automóviles","De Lujo","IMPORTADO",4,8
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","A5 Sportback","Automóviles","Deportivos","IMPORTADO",4,37
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","A6","Automóviles","De Lujo","IMPORTADO",4,15
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","A7","Automóviles","De Lujo","IMPORTADO",4,11
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","e-tron","Camiones ligeros","SUV's","IMPORTADO",23,11
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","Q 3","Camiones ligeros","SUV's","IMPORTADO",94,81
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2024,"01","Audi","Q2","Automóviles","De Lujo","IMPORTADO",62,78
